yacimiento;refMLH;refHesperia;texto;municipio;provincia;material;soporte;direccion_escritura;tecnica;signario;sistema_dual;separadores;datacion
Sigarra;D. (C.34.02.S1);B.12.03;ḿba;Els Prats de Rei;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Mediados o segunda mitad del siglo II a. E.
Sigarra;D. (C.34.03.S1);B.12.05;ube;Els Prats de Rei;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Mediados o segunda mitad del siglo II a.C.
Sigarra;D. (C.34.04.S1);B.12.02;itiḿ;Els Prats de Rei;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Mediados o segunda mitad del siglo II a.C.
Sigarra;D. (C.34.05.S1);B.12.08;a) alauke b) ti;Els Prats de Rei;Barcelona;CERAMICA;Ánfora;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Mediados o segunda mitad del siglo II a.C.
L'Aubreda;D. (C.55.01.S1);B.10.01;a) [---]ti b) +;Sant Martí de Tous;Barcelona;CERAMICA;Ánfora;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglos II - I a.C.
El Vilar;C.35.01.S1;T.03.04;:iŕekeśta(o)nataŕśuekiarsinekun baibaibar;Valls;Tarragona;CERAMICA;INSTRUMENTO;DEXTROGIRA;Incisión ante cocturam;LEVANTINO;NO DUAL;TRES PUNTOS;Siglo IV - principios s. II a.C.
El Castell d'Amposta;C.36.01.S1;T.14.02;taŕ;Amposta;Tarragona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Segunda mitad del siglo II a.C. o primera mitad del I a.C.
El Castell d'Amposta;C.36.02.S1;T.14.03;kas[---];Amposta;Tarragona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Segunda mitad del siglo II o primera mitad del siglo I a.C.
Baetulo;C.08.06.S1;B.41.12;a) la b) ka;Badalona;Barcelona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;;Segunda mitad del II a.C. - primera mitad del I a.C.
Montbarbat;C.29.01.S1;GI.17.01;ul;Lloret de Mar;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Comienzos del s. III a.C.
Montbarbat;C.29.02.S1;GI.17.02;[---]lkoti;Lloret de Mar;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Comienzos del siglo III a.C.
Empúries;C.01.12;GI.10.19;duŕśbiuŕar;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Finales del s. IV a.C.
Empúries;C.01.30.S1;GI.10.16;bikitiŕ;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo IV a.C.
Empúries;C.01.31.S1;GI.10.17;biuŕtaŕar;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;S. IV a.C.
Empúries;C.01.32.S1;GI.10.18;kibas;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo IV a.C.
Empúries;C.01.33.S1;GI.10.20;unbas;L'Escala;Girona;CERAMICA;RECIPIENTE;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglo IV a.C.
El Castellet de Banyoles;C.21.06.S1;T.07.02;A) [---]uteska:eŕkaikiśoka:baŕbinkite [---]kianaiunortiniku:śalirotanai [---]ultibeikate:śalir:siatikanis: [---]tike B) aiunortinikabitaŕanteśir;Tivissa;Tarragona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;DOS PUNTOS;Finales s. III - comienzos s. II a.C.
El Castellet de Banyoles;C.21.07.S1;T.07.04;------? [i]unsti- r:banbite- ŕoka : [1-2]+e ------;Tivissa;Tarragona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;DOS PUNTOS;Aprox. 200 a.C.
Desconocido;C.00.03.S1;T.00.03;[---]ṛ́skaido+[---] [---]+silunini+[---] [---]ḅẹgeŕḍịniŕika[---];Desconocido;Tarragona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;DUAL;CARECE;Siglo III a.C.
Desconocido;C.00.01;T.00.01;koŕasiŕen:e Π I neŕseoŕtinika:e I I ḳạisuŕanaŕika:I I;Desconocido;Tarragona;PLOMO;LAMINA/PLANCHA;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;TRES PUNTOS;Siglo II a.C.
Serra de Puigverd III;D.;L.10.01;aŕsi[---];Puigverd;Lleida;CERAMICA;Ánfora;DEXTROGIRA;INCISION;LEVANTINO;NO DUAL;CARECE;Siglos II - I a.C.
