yacimiento;refMLH;refHesperia;texto;municipio;provincia;material;soporte;direccion_escritura;tecnica;signario;sistema_dual;separadores;datacion
"""Necrópolis de La Yunta""";K.;GU.05.08;ta;La Yunta;Guadalajara;CERAMICA;RECIPIENTE;;INCISION;CELTIBERICO;NO DUAL;CARECE;Finales del s. IV a.e. a comienzos del III a.e.
El Pueyo de Belchite;K.;Z.17.02;[---]+ako · esike[---?];Belchite;Zaragoza;PIEDRA;LAPIDA;DEXTROGIRA;INCISION;CELTIBERICO;NO DUAL;un punto;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
La Custodia;K.18;NA.01.12;memu- nos:telkaskum kar;Viana;Navarra;BRONCE;TESERA;DEXTROGIRA;PUNTILLADO;CELTIBERICO E.;NO DUAL;TRES PUNTOS;Desde mediados del siglo II hasta el 76 a. e. Esta horquilla temporal comienza en el momento de la reubicación de la población indígena desde el cerro de Monte Cantabria, por imposición romana, tras la primera guerra celtibérica. El final del lapso temporal viene marcado por la violenta destrucción de la ciudad por parte de Sertorio en el 76 a.e.
La Custodia;K.18;NA.01.13;tirtaku:ama+riko burzauka;Viana;Navarra;BRONCE;TESERA;DEXTROGIRA;PUNTILLADO;CELTIBERICO E.;NO DUAL;DOS PUNTOS;Desde mediados del siglo II hasta el 76 a. e. Esta horquilla temporal comienza en el momento de la reubicación de la población indígena desde el cerro de Monte Cantabria, por imposición romana, tras la primera guerra celtibérica. El final del lapso temporal viene marcado por la violenta destrucción de la ciudad por parte de Sertorio en el 76 a.e.
Uxama Argaela;K.23;SO.06.04SUSPECTA;lougeso:uadarigum:kaas;El Burgo de Osma;Soria;BRONCE;Tésera;DEXTROGIRA;INCISION;CELTIBERICO E.;DUAL;TRES PUNTOS;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Virovesca;K.;BU.07.01;s̲orbas̲:o̲n̲u̲b̲a̲ka+[---];Briviesca;Burgos;BRONCE;Tésera;DEXTROGIRA;INCISION;CELTIBERICO E.;DUAL;seis o siete puntos;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Virovesca;K.;BU.07.02;ROLENICAS:GORTAS:CAR;Briviesca;Burgos;BRONCE;Tésera;DEXTROGIRA;PUNTILLADO;LATINO;NO APLICA;dos separadores de uno y tres puntos;Del siglo -I hasta el siglo I.
El Castillo de Rabanera;K.;SO.08.01;u̲ela[---] auzar̲[---] ubo+ [---] riounu[---] ueizui:r[---];Ventosa (San Pedro de Manrique);Soria;BRONCE;LAMINA/PLANCHA;DEXTROGIRA;INCISION;CELTIBERICO W.;NO DUAL;dos rayitas;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
Desconocido;K.;BU.00.01FALSA;useitio:magoniokum:kar;Desconocido;Burgos;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO W.;DUAL;TRES PUNTOS;
Desconocido;K.;TO.03.01SUSPECTA;s̱eg̲i̲samaka:kar;Nambroca?;Toledo;BRONCE;TESERA;DEXTROGIRA;INCISION;CELTIBERICO W.;DUAL;Cinco puntos;Finales del siglo - III hasta, aproximadamente, el cambio de la era.
