site,refMLH,refHesperia,text,municipality,province,material,medium,writing_direction,technique,signary,dual_system,separators,dating,municipality_latitude,municipality_longitude,province_latitude,province_longitude,dating_min,dating_max,dating_mean,dating_width,clean_text,material_cat,material_cat_code,medium_cat,medium_cat_code,writing_direction_cat_code,technique_cat,technique_cat_code,signary_cat,signary_cat_code,dual_system_cat,dual_system_cat_code,separators_cat,separators_cat_code
Sigarra,D. (C.34.04.S1),B.12.02,itiḿ,Els Prats de Rei,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados o segunda mitad del siglo II a.C.,41.70526754,1.54209814,41.45,2.08,-151.0,-127.0,-139.0,24.0,itiḿ,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Sigarra,D. (C.34.05.S1),B.12.08,a) alauke b) ti,Els Prats de Rei,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados o segunda mitad del siglo II a.C.,41.70526754,1.54209814,41.45,2.08,-151.0,-127.0,-139.0,24.0,a) alauke b) ti,CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
L'Aubreda,D. (C.55.01.S1),B.10.01,a) [---]ti b) +,Sant Martí de Tous,Barcelona,CERAMICA,Ánfora,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Siglos II - I a.C.,41.55991606,1.52455178,41.45,2.08,-200.0,-1.0,-100.5,199.0,a) [---]ti b) +,CERAMICA,1,ÁNFORA,7,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Vilar,C.35.01.S1,T.03.04,:iŕekeśta(o)nataŕśuekiarsinekun baibaibar,Valls,Tarragona,CERAMICA,INSTRUMENTO,DEXTROGIRA,Incisión ante cocturam,LEVANTINO,NO DUAL,TRES PUNTOS,Siglo IV - principios s. II a.C.,41.2838885,1.2473842,41.17,1.0,-400.0,-101.0,-250.5,299.0,o baibaibar,CERAMICA,1,INSTRUMENTO,10,1,INCISION,1,LEVANTINO,1,NO DUAL,1,TRES PUNTOS,4
El Castell d'Amposta,C.36.01.S1,T.14.02,taŕ,Amposta,Tarragona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II a.C. o primera mitad del I a.C.,40.7103883,0.57831025,41.17,1.0,-150.0,-51.0,-100.5,99.0,taŕ,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
El Castell d'Amposta,C.36.02.S1,T.14.03,kas[---],Amposta,Tarragona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Segunda mitad del siglo II o primera mitad del siglo I a.C.,40.7103883,0.57831025,41.17,1.0,-150.0,-1.0,-75.5,149.0,kas[---],CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Baetulo,C.08.06.S1,B.41.12,a) la b) ka,Badalona,Barcelona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,,Segunda mitad del II a.C. - primera mitad del I a.C.,41.45262481,2.24625368,41.45,2.08,-150.0,-51.0,-100.5,99.0,a) la b) ka,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,,2
Montbarbat,C.29.01.S1,GI.17.01,ul,Lloret de Mar,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Comienzos del s. III a.C.,41.69957944,2.84739507,42.17,2.67,-300.0,-281.0,-290.5,19.0,ul,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Montbarbat,C.29.02.S1,GI.17.02,[---]lkoti,Lloret de Mar,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Comienzos del siglo III a.C.,41.69957944,2.84739507,42.17,2.67,-300.0,-281.0,-290.5,19.0,[---]lkoti,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Empúries,C.01.12,GI.10.19,duŕśbiuŕar,L'Escala,Girona,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Finales del s. IV a.C.,42.12467235,3.13299609,42.17,2.67,-321.0,-302.0,-311.5,19.0,duŕśbiuŕar,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
