site,refMLH,refHesperia,text,municipality,province,material,medium,writing_direction,technique,signary,dual_system,separators,dating,municipality_latitude,municipality_longitude,province_latitude,province_longitude,dating_min,dating_max,dating_mean,dating_width,clean_text,material_cat,material_cat_code,medium_cat,medium_cat_code,writing_direction_cat_code,technique_cat,technique_cat_code,signary_cat,signary_cat_code,dual_system_cat,dual_system_cat_code,separators_cat,separators_cat_code
Ensérune,B.01.207,HER.02.207,]nḿ[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]nḿ[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.208,HER.02.208,]ḳiṃ́ḅa[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]ḳiṃ́ḅa[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.209,HER.02.209,]ḳébe[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]ḳébe[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.210,HER.02.210,]ben[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]ben[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.211,HER.02.211,]beti[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]beti[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.212,HER.02.212,]biu[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]biu[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.213,HER.02.213,]ŕi+[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]ŕi+[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.214,HER.02.214,]si[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]si[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.215,HER.02.215,aske[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,VERTICAL,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,aske[,CERAMICA,1,RECIPIENTE,1,4,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.216,HER.02.216,]k̲i̱ŕ̲[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]k̲i̱ŕ̲[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.217,HER.02.217,]+ś,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]+ś,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.218,HER.02.218,]śo[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]śo[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.219,HER.02.219,t̲e̲+[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,t̲e̲+[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.220,HER.02.220,]ṭiṇ[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]ṭiṇ[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.221,HER.02.221,]+ṭi[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,VERTICAL,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]+ṭi[,CERAMICA,1,RECIPIENTE,1,4,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.222,HER.02.222,]tigi[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]tigi[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.223,HER.02.223,]toụ[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]toụ[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.224,HER.02.224,]u̲tu[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]u̲tu[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.225,HER.02.225,]uḿ̲[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Fin. s. III a fin. s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-202.0,-211.5,19.0,]uḿ̲[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.226,HER.02.226,ua[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,ua[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.227,HER.02.227,]ui+[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]ui+[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.228,HER.02.228,]uḳi[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]uḳi[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.229,HER.02.229,a) u̲ b) ]ḿ̲k̲e̲[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,a) u̲ b) ]ḿ̲k̲e̲[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.230,HER.02.230,te+[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,VERTICAL,INCISION,LEVANTINO,DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,te+[,CERAMICA,1,RECIPIENTE,1,4,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.231,HER.02.231,]gatun,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,]gatun,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.232,HER.02.232,banba,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Finales s. III a.C. a finales s. II a.C.,43.281126097,3.112383369,43.35,3.22,-221.0,-102.0,-161.5,119.0,banba,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.233,HER.02.233,beteledo,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Mediados del s. II a.C. a mediados del I a.C.,43.281126097,3.112383369,43.35,3.22,-175.0,-26.0,-100.5,149.0,beteledo,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.234,HER.02.234,un,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados del siglo II a.C. a mediados del I a.C.,43.281126097,3.112383369,43.35,3.22,-175.0,-26.0,-100.5,149.0,un,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.235,HER.02.235,aṛ́u̲[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,,Mediados del s. II a.C. a mediados del I a.C.,43.281126097,3.112383369,43.35,3.22,-175.0,-26.0,-100.5,149.0,aṛ́u̲[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,,2
Ensérune,B.01.236,HER.02.236,]ḿi,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,VERTICAL,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados del s. II a.C. a mediados del I a.C.,43.281126097,3.112383369,43.35,3.22,-175.0,-26.0,-100.5,149.0,]ḿi,CERAMICA,1,RECIPIENTE,1,4,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.237,HER.02.237,]+ni̲,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados del s. II a.C. a mediados del I a.C.,43.281126097,3.112383369,43.35,3.22,-175.0,-26.0,-100.5,149.0,]+ni̲,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.238,HER.02.238,]aŕ,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados del s. II a.C. a mediados del I a.C.,43.281126097,3.112383369,43.35,3.22,-175.0,-26.0,-100.5,149.0,]aŕ,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.239,HER.02.239,]k̲i̱ŕi[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Mediados del s. II a.C. a mediados del I a.C.,43.281126097,3.112383369,43.35,3.22,-175.0,-26.0,-100.5,149.0,]k̲i̱ŕi[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.240,HER.02.240,]śa[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Mediados del s. II a.C. a mediados del I a.C.,43.281126097,3.112383369,43.35,3.22,-175.0,-26.0,-100.5,149.0,]śa[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.241,HER.02.241,atia[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,,Siglos II y I a.C.,43.281126097,3.112383369,43.35,3.22,-200.0,-1.0,-100.5,199.0,atia[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,,2
Ensérune,B.01.242,HER.02.242,lebio,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,lebio,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.243,HER.02.243,a) ueṛ́ilo b) ueŕilo,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,a) ueṛ́ilo b) ueŕilo,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.244,HER.02.244,]ikalon[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,]ikalon[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.245,HER.02.245,katu+[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,katu+[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,,2
Ensérune,B.01.246,HER.02.246,bela+[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,bela+[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.247,HER.02.247,]ok̲e̲,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,,INCISION,LEVANTINO,NO DUAL,CARECE,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,]ok̲e̲,CERAMICA,1,RECIPIENTE,1,3,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.248,HER.02.248,]kenḿị[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,]kenḿị[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.249,HER.02.249,]atiśakeḿi[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,,43.281126097,3.112383369,43.35,3.22,,,,,]atiśakeḿi[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.250,HER.02.250,]osadi,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,]osadi,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.251,HER.02.251,]+l,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,]+l,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,,2
Ensérune,B.01.252,HER.02.252,a) ko b) l+[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,a) ko b) l+[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.253,HER.02.253,]+ntas[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,DOS PUNTOS,325-125 a.C.,43.281126097,3.112383369,43.35,3.22,-325.0,-125.0,-225.0,200.0,]+ntas[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,DOS PUNTOS,3
Ensérune,B.01.254,HER.02.254,a) alosoṟ́dinarḿi b) adin[ c) l[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,a) alosoṟ́dinarḿi b) adin[ c) l[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.255,HER.02.255,]kaiuḿi,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,]kaiuḿi,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.256,HER.02.256,śaṉuḵe̱,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,śaṉuḵe̱,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.257,HER.02.257,śeŕtub̲a̲ŕeḿi,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,śeŕtub̲a̲ŕeḿi,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.258,HER.02.258,a) ]oŕ b) a̲ụŕ̲teḿbaŕ̲e̲[ c) ]ar̲[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,a) ]oŕ b) a̲ụŕ̲teḿbaŕ̲e̲[---]ar̲[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.259,HER.02.259,]a:ue+[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,DOS PUNTOS,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,]a:ue+[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,DOS PUNTOS,3
Ensérune,B.01.260,HER.02.260,]iko,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,]iko,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.261,HER.02.261,kio+[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,kio+[,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.262,HER.02.262,ln,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,ln,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.263,HER.02.263,]a̲ta,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,]a̲ta,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.264,HER.02.264,]+oḅe,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,]+oḅe,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.265,HER.02.265,baś,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,NO DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,baś,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.266,HER.02.266,]+ŕ[,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,,INCISION,LEVANTINO,NO DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,]+ŕ[,CERAMICA,1,RECIPIENTE,1,3,INCISION,1,LEVANTINO,1,NO DUAL,1,CARECE,1
Ensérune,B.01.267,HER.02.267,]k̲i̱,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,,INCISION,LEVANTINO,DUAL,CARECE,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,]k̲i̱,CERAMICA,1,RECIPIENTE,1,3,INCISION,1,LEVANTINO,1,DUAL,2,CARECE,1
Ensérune,B.01.268,HER.02.268,eśkinge,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,eśkinge,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,,2
Ensérune,B.01.269,HER.02.269,ikoŕtibaś / ḿbaske,Nissan-lez-Enserune,Hérault,CERAMICA,RECIPIENTE,DEXTROGIRA,INCISION,LEVANTINO,DUAL,,Incierta: Mediados del siglo III a.C. a cambio de Era.,43.281126097,3.112383369,43.35,3.22,-275.0,1.0,-137.0,276.0,ikoŕtibaś   ḿbaske,CERAMICA,1,RECIPIENTE,1,1,INCISION,1,LEVANTINO,1,DUAL,2,,2
